,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,_equity_curve,_trades,Sector
DHR,15/11/2012,11/11/2022,3648 days,69.79332273,19401.28612,20576.04474,49.24066248,626.6207121,4.091762426,17.21421356,0.237696739,0.368453428,0.088359383,-46.30818253,-3.230650477,2951 days,112 days,132,37.87878788,12.42182255,-4.208416834,0.310492178,88 days,19 days,1.252692123,0.412403818,0.824263325,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07  18084.099270     0.121109              NaT
2022-11-08  18369.939358     0.107217              NaT
2022-11-09  17933.619534     0.128422              NaT
2022-11-10  19439.859402     0.055219              NaT
2022-11-11  19401.286123     0.057094        2951 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     308       104      125   42.095035   45.774269  1133.204086   0.087403 2013-04-18 2013-05-17  29 days
1    -309       125      126   45.682721   46.367710  -211.661770  -0.014994 2013-05-17 2013-05-20   3 days
2    -300       126      137   46.274975   43.740673   760.290488   0.054766 2013-05-20 2013-06-05  16 days
3     334       137      160   43.828154   48.232510  1471.054637   0.100491 2013-06-05 2013-07-09  34 days
4    -335       160      161   48.136045   49.086823  -318.510602  -0.019752 2013-07-09 2013-07-10   1 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
127   -65      2425     2435  262.676231  273.730742  -718.543198  -0.042084 2022-07-07 2022-07-21  14 days
128   -59      2435     2441  278.409868  290.126516  -691.282218  -0.042084 2022-07-21 2022-07-29   8 days
129   -55      2488     2494  281.725429  246.729996  1924.748804   0.124218 2022-10-05 2022-10-13   8 days
130    72      2499     2514  243.566162  267.869995  1749.875996   0.099783 2022-10-20 2022-11-10  21 days
131   -72      2514     2514  267.334255  267.869995   -38.573279  -0.002004 2022-11-10 2022-11-10   0 days

[132 rows x 10 columns]",Healthcare
DIS,15/11/2012,11/11/2022,3648 days,62.48012719,4713.327203,13036.11969,-63.7436369,123.542633,-9.662436385,15.38961272,0,0,0,-65.25477397,-17.43171138,3518 days,884 days,128,28.125,18.15652317,-4.208416834,-0.800672418,127 days,18 days,0.701209953,-0.695157406,-1.748444437,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   4529.429250     0.652548              NaT
2022-11-08   4529.429250     0.652548              NaT
2022-11-09   4529.429250     0.652548              NaT
2022-11-10   4713.327203     0.638441              NaT
2022-11-11   4713.327203     0.638441        3518 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    -253        73       96   51.242875   53.399388 -545.597982  -0.042084 2013-03-05 2013-04-08  34 days
1    -233        96       98   53.365894   54.645573 -298.165204  -0.023979 2013-04-08 2013-04-10   2 days
2    -222        98      107   54.536282   56.831396 -509.515320  -0.042084 2013-04-10 2013-04-23  13 days
3    -198       115      120   58.791399   61.265587 -489.889056  -0.042084 2013-05-03 2013-05-10   7 days
4     194       134      162   57.460272   60.527405  595.023718   0.053378 2013-05-31 2013-07-11  41 days
..    ...       ...      ...         ...         ...         ...        ...        ...        ...      ...
123   -53      2433     2434   99.410781  103.594401 -221.731861  -0.042084 2022-07-19 2022-07-20   1 days
124   -49      2434     2444  103.143298  107.483998 -212.694297  -0.042084 2022-07-20 2022-08-03  14 days
125   -43      2449     2450  112.205140  116.927200 -203.048581  -0.042084 2022-08-10 2022-08-11   1 days
126   -40      2450     2452  117.454622  122.397603 -197.719204  -0.042084 2022-08-11 2022-08-15   4 days
127    52      2513     2514   86.923500   90.459999  183.897952   0.040685 2022-11-09 2022-11-10   1 days

[128 rows x 10 columns]",Communication Services
DISH,15/11/2012,11/11/2022,3648 days,48.84737679,8444.33365,13479.34767,-35.04358731,-49.54675326,-4.229354761,19.81641091,0,0,0,-50.81351768,-18.1119282,3523 days,1184 days,135,28.88888889,11.82364729,-4.208416834,-0.27352223,66 days,13 days,0.949728021,-0.123246018,-0.677519581,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   8988.721148     0.333149              NaT
2022-11-08   8988.721148     0.333149              NaT
2022-11-09   8988.721148     0.333149              NaT
2022-11-10   8988.721148     0.333149              NaT
2022-11-11   8444.333650     0.373535        3523 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0     370        65       74   35.110081  34.189999 -340.430448  -0.026206 2013-02-21 2013-03-06  13 days
1     369        74       84   34.258379  36.480000  819.778119   0.064849 2013-03-06 2013-03-20  14 days
2    -370        84       85   36.407040  36.849998 -163.894804  -0.012167 2013-03-20 2013-03-21   1 days
3    -362        85       86   36.776298  37.790001 -366.960283  -0.027564 2013-03-21 2013-03-22   1 days
4    -343        86      105   37.714421  39.301601 -544.402753  -0.042084 2013-03-22 2013-04-19  28 days
..    ...       ...      ...         ...        ...         ...        ...        ...        ...      ...
130   278      2379     2380   28.567020  27.369600 -332.882763  -0.041916 2022-04-29 2022-05-02   3 days
131   342      2384     2385   22.264439  21.331199 -319.168070  -0.041916 2022-05-06 2022-05-09   3 days
132  -380      2434     2442   19.211500  16.940000  863.170000   0.118236 2022-07-20 2022-08-01  12 days
133  -423      2470     2471   19.291340  19.610001 -134.793470  -0.016518 2022-09-09 2022-09-12   3 days
134  -410      2471     2473   19.570781  17.256801  948.731830   0.118236 2022-09-12 2022-09-14   2 days

[135 rows x 10 columns]",Communication Services
DLR,15/11/2012,11/11/2022,3648 days,57.6709062,16114.80575,21546.24593,23.96004425,175.1389309,2.174613231,18.38424695,0.118286772,0.182324751,0.056087735,-38.77163561,-10.46036326,1084 days,230 days,132,32.57575758,11.82364729,-4.208416834,0.163503854,78 days,16 days,1.151962983,0.300066719,0.340643064,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07  16821.726629     0.219273              NaT
2022-11-08  16821.726629     0.219273              NaT
2022-11-09  16821.726629     0.219273              NaT
2022-11-10  16821.726629     0.219273              NaT
2022-11-11  16114.805752     0.252083         883 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    -280        95       96   46.375687   47.488415  -311.563811  -0.023994 2013-04-05 2013-04-08   3 days
1    -267        96      105   47.393438   49.387951  -532.535083  -0.042084 2013-04-08 2013-04-19  11 days
2    -242       105      119   50.053166   44.135056  1432.182572   0.118236 2013-04-19 2013-05-09  20 days
3     301       119      120   45.008374   44.537804  -141.641740  -0.010455 2013-05-09 2013-05-10   1 days
4     301       120      128   44.626879   42.756292  -563.046914  -0.041916 2013-05-10 2013-05-22  12 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
127  -108      2416     2431  134.982287  119.022457  1723.661586   0.118236 2022-06-23 2022-07-15  22 days
128  -121      2440     2466  135.268761  119.275060  1935.237845   0.118236 2022-07-28 2022-09-02  36 days
129   156      2466     2474  117.313344  112.396018  -767.102823  -0.041916 2022-09-02 2022-09-15  13 days
130   156      2474     2479  112.113779  107.414399  -733.103276  -0.041916 2022-09-15 2022-09-22   7 days
131  -155      2514     2515  108.372816  112.933596  -706.920876  -0.042084 2022-11-10 2022-11-11   1 days

[132 rows x 10 columns]",Real Estate
DLTR,15/11/2012,11/11/2022,3648 days,53.85532591,15342.78353,26438.79593,18.0214118,317.1536459,1.673440799,20.36865138,0.082157663,0.130514184,0.039451499,-42.41767315,-5.702472941,1566 days,104 days,120,30.83333333,14.62593961,-4.208416834,0.138176248,74 days,16 days,1.133624546,0.293259792,0.226094597,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07  15342.783535     0.419687              NaT
2022-11-08  15342.783535     0.419687              NaT
2022-11-09  15342.783535     0.419687              NaT
2022-11-10  15342.783535     0.419687              NaT
2022-11-11  15342.783535     0.419687         639 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     339        36       46   38.256360   41.060001   950.434322   0.073286 2013-01-09 2013-01-24  15 days
1    -340        46       69   40.977881   42.702401  -586.336820  -0.042084 2013-01-24 2013-02-27  34 days
2    -295        69       86   45.299219   47.205599  -562.382092  -0.042084 2013-02-27 2013-03-22  23 days
3    -259       117      123   49.401000   50.279999  -227.660684  -0.017793 2013-05-07 2013-05-15   8 days
4    -250       123      155   50.179439   51.630001  -362.640572  -0.028908 2013-05-15 2013-07-01  47 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
115   107      2438     2460  158.135647  151.507207  -709.243113  -0.041916 2022-07-26 2022-08-25  30 days
116   109      2460     2461  149.308014  143.049595  -682.167755  -0.041916 2022-08-25 2022-08-26   1 days
117   112      2461     2501  138.977397  149.000000  1122.531542   0.072117 2022-08-26 2022-10-24  59 days
118  -112      2501     2502  148.702000  154.960000  -700.896000  -0.042084 2022-10-24 2022-10-25   1 days
119  -104      2502     2511  153.592194  160.055994  -672.235173  -0.042084 2022-10-25 2022-11-07  13 days

[120 rows x 10 columns]",Consumer Defensive
DOV,15/11/2012,11/11/2022,3648 days,56.16057234,8477.912613,14093.73517,-34.78528759,321.7796848,-4.191279011,16.37342591,0,0,0,-53.87612922,-18.90110512,3490 days,1165 days,126,29.36507937,11.82364729,-4.208416834,-0.317502313,71 days,16 days,0.905647318,-0.203551579,-0.887956818,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   8738.694584     0.379959              NaT
2022-11-08   8738.694584     0.379959              NaT
2022-11-09   8738.694584     0.379959              NaT
2022-11-10   8738.694584     0.379959              NaT
2022-11-11   8477.912613     0.398462        3490 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    -314        98      126   41.313078   43.051705 -545.928736  -0.042084 2013-04-10 2013-05-20  40 days
1    -277       146      162   44.959621   45.446487 -134.861911  -0.010829 2013-06-18 2013-07-11  23 days
2    -271       162      167   45.355594   46.731689 -372.921745  -0.030340 2013-07-11 2013-07-18   7 days
3    -256       167      168   46.638226   47.670448 -264.248891  -0.022133 2013-07-18 2013-07-19   1 days
4    -245       168      202   47.575107   49.577266 -490.528913  -0.042084 2013-07-19 2013-09-06  49 days
..    ...       ...      ...         ...         ...         ...        ...        ...        ...      ...
121   -64      2451     2461  138.649392  127.482780  714.663113   0.080538 2022-08-12 2022-08-26  14 days
122    75      2461     2474  127.737746  122.383469 -401.570758  -0.041916 2022-08-26 2022-09-15  20 days
123    75      2474     2475  122.745000  120.910004 -137.624725  -0.014950 2022-09-15 2022-09-16   1 days
124    75      2475     2482  121.151824  116.073604 -380.866512  -0.041916 2022-09-16 2022-09-27  11 days
125   -63      2514     2514  137.075306  137.350006  -17.306101  -0.002004 2022-11-10 2022-11-10   0 days

[126 rows x 10 columns]",Industrials
DOW,20/3/2019,11/11/2022,1332 days,54.98915401,15411.17333,17655.77768,18.54748718,28.43832401,4.760165177,26.01973424,0.18294442,0.283769412,0.138666905,-34.32805524,-10.12717413,901 days,140 days,61,29.50819672,14.15978411,-4.208416834,0.3917247,49 days,12 days,1.250875338,0.586765933,0.558732752,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2019-03-20  13000.000000     0.000000              NaT
2019-03-21  13000.000000     0.000000              NaT
2019-03-22  13000.000000     0.000000              NaT
2019-03-25  13000.000000     0.000000              NaT
2019-03-26  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07  17016.957788     0.011581              NaT
2022-11-08  16964.307252     0.014640              NaT
2022-11-09  17655.777681     0.000000           5 days
2022-11-10  16855.498109     0.045327              NaT
2022-11-11  15411.173333     0.127131           2 days

[922 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0   -295        81       90   44.013123  40.502075  1035.759202   0.079773 2019-07-16 2019-07-29  13 days
1    345        90       94   40.583079  38.881992  -586.875070  -0.041916 2019-07-29 2019-08-02   4 days
2   -339       120      123   39.617978  41.285267  -565.211189  -0.042084 2019-09-10 2019-09-13   3 days
3    333       136      152   38.583120  42.396999  1270.021978   0.098848 2019-10-02 2019-10-24  22 days
4   -334       152      153   42.312205  43.262592  -317.429243  -0.022461 2019-10-24 2019-10-25   1 days
..   ...       ...      ...         ...        ...          ...        ...        ...        ...      ...
56   281       814      815   61.183666  58.619081  -720.648325  -0.041916 2022-06-10 2022-06-13   3 days
57   284       815      818   58.029054  55.596698  -690.788973  -0.041916 2022-06-13 2022-06-16   3 days
58  -296       855      856   53.227191  54.537914  -387.974157  -0.024625 2022-08-10 2022-08-11   1 days
59  -282       856      875   54.428838  47.993365  1814.803635   0.118236 2022-08-11 2022-09-08  28 days
60  -351       916      921   48.931939  50.991199  -722.800242  -0.042084 2022-11-04 2022-11-11   7 days

[61 rows x 10 columns]",Basic Materials
DPZ,15/11/2012,11/11/2022,3648 days,54.45151033,5856.271033,14725.17269,-54.95176129,919.7545207,-7.676401766,16.32217827,0,0,0,-60.70899421,-17.32052612,2325 days,590 days,134,29.10447761,11.82364729,-4.208416834,-0.604490501,65 days,15 days,0.787867221,-0.491352048,-1.345983838,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   6014.511267     0.591549              NaT
2022-11-08   6181.551306     0.580205              NaT
2022-11-09   6164.751013     0.581346              NaT
2022-11-10   5856.271033     0.602295              NaT
2022-11-11   5856.271033     0.602295        2325 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    -302        70       73   42.917937   44.724102 -545.462031  -0.042084 2013-02-28 2013-03-05   5 days
1    -249       112      117   49.950581   52.052709 -523.430033  -0.042084 2013-04-30 2013-05-07   7 days
2    -203       204      205   58.743605   59.171616  -86.886057  -0.007286 2013-09-10 2013-09-11   1 days
3    -200       205      211   59.053272   61.538480 -497.041571  -0.042084 2013-09-11 2013-09-19   8 days
4    -180       250      267   63.033272   64.446312 -254.347103  -0.022417 2013-11-13 2013-12-09  26 days
..    ...       ...      ...         ...         ...         ...        ...        ...        ...      ...
129    17      2462     2467  378.076360  362.228848 -269.407705  -0.041916 2022-08-29 2022-09-06   8 days
130    18      2472     2473  349.978559  340.279999 -174.574080  -0.027712 2022-09-13 2022-09-14   1 days
131    18      2473     2479  340.960559  326.668799 -257.251679  -0.041916 2022-09-14 2022-09-22   8 days
132   -17      2509     2510  351.365867  359.649994 -140.830152  -0.023577 2022-11-03 2022-11-04   1 days
133   -16      2510     2514  358.930694  357.820007   17.770985   0.003094 2022-11-04 2022-11-10   6 days

[134 rows x 10 columns]",Consumer Cyclical
DRI,15/11/2012,11/11/2022,3648 days,65.14308426,14432.18773,17133.16811,11.01682871,326.7858331,1.052275574,20.53521944,0.05124248,0.075212966,0.021951626,-47.93611064,-5.084648076,3063 days,188 days,143,33.56643357,14.02557859,-4.208416834,0.074669832,91 days,17 days,1.1000697,0.200622724,0.19616719,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07  15042.903654     0.122001              NaT
2022-11-08  15011.103331     0.123857              NaT
2022-11-09  15063.043913     0.120826              NaT
2022-11-10  14460.963072     0.155967              NaT
2022-11-11  14432.187732     0.157646        3063 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    -422        50       60   30.799798   30.377970   178.011409   0.013696 2013-01-30 2013-02-13  14 days
1     432        60       61   30.438726   30.152746  -123.543136  -0.009395 2013-02-13 2013-02-14   1 days
2     432        61       79   30.213052   32.464550   972.647277   0.074521 2013-02-14 2013-03-13  27 days
3    -432        79       87   32.399621   33.372047  -420.088251  -0.030014 2013-03-13 2013-03-25  12 days
4    -408        87      113   33.305303   34.706929  -571.863405  -0.042084 2013-03-25 2013-05-01  37 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
138  -110      2449     2453  128.441881  133.847251  -594.590673  -0.042084 2022-08-10 2022-08-16   6 days
139   112      2480     2502  121.519921  135.830651  1602.801677   0.117764 2022-09-23 2022-10-25  32 days
140  -110      2503     2504  138.242964  140.729996  -273.573461  -0.017990 2022-10-26 2022-10-27   1 days
141  -106      2504     2514  140.448536  145.330002  -517.435406  -0.034756 2022-10-27 2022-11-10  14 days
142   -99      2514     2514  145.039342  145.330002   -28.775340  -0.002004 2022-11-10 2022-11-10   0 days

[143 rows x 10 columns]",Consumer Cyclical
DTE,15/11/2012,11/11/2022,3648 days,73.96661367,6794.58785,13038.31965,-47.73393962,221.6632481,-6.291890047,13.33715512,0,0,0,-54.85023086,-54.85023086,3579 days,3579 days,136,27.20588235,11.77644711,-4.208416834,-0.477699346,120 days,20 days,0.772409567,-0.405831482,-1.707156493,MeanReversion,"                 Equity  DrawdownPct DrawdownDuration
Date                                                 
2012-11-15  13000.00000     0.000000              NaT
2012-11-16  13000.00000     0.000000              NaT
2012-11-19  13000.00000     0.000000              NaT
2012-11-20  13000.00000     0.000000              NaT
2012-11-21  13000.00000     0.000000              NaT
...                 ...          ...              ...
2022-11-07   6794.58785     0.478875              NaT
2022-11-08   6794.58785     0.478875              NaT
2022-11-09   6794.58785     0.478875              NaT
2022-11-10   6794.58785     0.478875              NaT
2022-11-11   6794.58785     0.478875        3579 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    -339        44       52   38.266636   39.151196 -299.865643  -0.023116 2013-01-22 2013-02-01  10 days
1    -325        52       70   39.072893   40.717243 -534.413819  -0.042084 2013-02-01 2013-02-28  27 days
2    -294        89      100   41.300329   43.038419 -510.998454  -0.042084 2013-03-27 2013-04-12  16 days
3     275       130      132   42.258153   40.486853 -487.107450  -0.041916 2013-05-24 2013-05-29   5 days
4    -265       161      162   42.073236   42.887527 -215.787315  -0.019354 2013-07-10 2013-07-11   1 days
..    ...       ...      ...         ...         ...         ...        ...        ...        ...      ...
131    58      2410     2434  117.659448  120.636940  172.694542   0.025306 2022-06-14 2022-07-20  36 days
132    58      2434     2440  120.878214  128.334427  432.460354   0.061684 2022-07-20 2022-07-28   8 days
133   -58      2440     2451  128.077758  133.467804 -312.622664  -0.042084 2022-07-28 2022-08-12  15 days
134    54      2463     2464  130.820353  129.456757  -73.634211  -0.010423 2022-08-30 2022-08-31   1 days
135    54      2464     2480  129.715670  124.278486 -293.607924  -0.041916 2022-08-31 2022-09-23  23 days

[136 rows x 10 columns]",Utilities
DUK,15/11/2012,11/11/2022,3648 days,62.04292528,6324.811755,13000,-51.34760189,139.9752217,-6.961932676,12.52849182,0,0,0,-52.8465001,-52.8465001,3460 days,3460 days,132,27.27272727,11.77644711,-4.208416834,-0.545897192,88 days,17 days,0.739002362,-0.476560394,-1.857762376,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   6337.434755     0.512505              NaT
2022-11-08   6337.434755     0.512505              NaT
2022-11-09   6337.434755     0.512505              NaT
2022-11-10   6337.434755     0.512505              NaT
2022-11-11   6324.811755     0.513476        3460 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0     273       128      129   47.611084   47.224976 -105.407693  -0.008110 2013-05-22 2013-05-23   1 days
1     272       129      130   47.319426   46.629238 -187.730975  -0.014586 2013-05-23 2013-05-24   1 days
2     271       130      131   46.722497   45.864269 -232.579611  -0.018369 2013-05-24 2013-05-28   4 days
3     271       131      148   45.955998   44.029698 -522.027113  -0.041916 2013-05-28 2013-06-20  23 days
4    -257       161      162   46.340037   47.319744 -251.784603  -0.021142 2013-07-10 2013-07-11   1 days
..    ...       ...      ...         ...         ...         ...        ...        ...        ...      ...
127    67      2461     2478  108.947463  104.380803 -305.966229  -0.041916 2022-08-26 2022-09-21  26 days
128    69      2481     2482  101.041676   98.320000 -187.795688  -0.026936 2022-09-26 2022-09-27   1 days
129    69      2482     2484   98.516640   95.099998 -235.748244  -0.034681 2022-09-27 2022-09-29   2 days
130    69      2484     2489   95.290198   91.295999 -275.599796  -0.041916 2022-09-29 2022-10-06   7 days
131   -65      2514     2514   96.905798   97.099998  -12.623000  -0.002004 2022-11-10 2022-11-10   0 days

[132 rows x 10 columns]",Utilities
DVA,15/11/2012,11/11/2022,3648 days,55.88235294,9108.523847,13000,-29.93443195,27.38063941,-3.500313449,18.91331689,0,0,0,-53.24387297,-53.24387297,3586 days,3586 days,133,27.06766917,22.1078358,-4.208416834,-0.26651804,69 days,15 days,0.943664063,-0.123896682,-0.676434333,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   9108.523847     0.299344              NaT
2022-11-08   9108.523847     0.299344              NaT
2022-11-09   9108.523847     0.299344              NaT
2022-11-10   9108.523847     0.299344              NaT
2022-11-11   9108.523847     0.299344        3586 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    -232        41       42   55.947881  56.325001   -87.491699  -0.006741 2013-01-16 2013-01-17   1 days
1    -229        42       52   56.212351  58.360001  -491.811815  -0.038206 2013-01-17 2013-02-01  15 days
2    -213        52       72   58.243281  60.694401  -522.088565  -0.042084 2013-02-01 2013-03-04  31 days
3    -195        72       91   60.783189  59.955002   161.496455   0.013625 2013-03-04 2013-04-01  28 days
4    -201        91       92   59.835092  62.353202  -506.140125  -0.042084 2013-04-01 2013-04-02   1 days
..    ...       ...      ...         ...        ...          ...        ...        ...        ...      ...
128   100      2479     2481   87.664978  83.990398  -367.457991  -0.041916 2022-09-22 2022-09-26   4 days
129   -90      2501     2502   92.524579  95.440002  -262.388102  -0.031510 2022-10-24 2022-10-25   1 days
130   -85      2502     2503   95.249122  99.257603  -340.720809  -0.042084 2022-10-25 2022-10-26   1 days
131   -78      2503     2505   99.111378  77.199997  1709.087688   0.221078 2022-10-26 2022-10-28   2 days
132   134      2505     2510   70.681081  67.718401  -396.999125  -0.041916 2022-10-28 2022-11-04   7 days

[133 rows x 10 columns]",Healthcare
DVN,15/11/2012,11/11/2022,3648 days,32.75039746,11581.73068,18318.78873,-10.90976402,79.97871459,-1.15037302,20.66654354,0,0,0,-40.88170116,-14.53203464,938 days,246 days,130,27.69230769,11.83787671,-4.208416834,-0.089819753,38 days,9 days,1.038911007,0.101220482,-0.149458338,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07  12092.750270     0.339872              NaT
2022-11-08  12084.399760     0.340328              NaT
2022-11-09  11210.990474     0.388006              NaT
2022-11-10  11581.730678     0.367768              NaT
2022-11-11  11581.730678     0.367768         827 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    -310        44       49   41.877682  43.464874  -492.029646  -0.037901 2013-01-22 2013-01-29   7 days
1    -288        49       50   43.377945  44.067707  -198.651612  -0.015901 2013-01-29 2013-01-30   1 days
2    -279        50       56   43.979572  45.830415  -516.385391  -0.042084 2013-01-30 2013-02-07   8 days
3     276        91       92   42.603297  42.081753  -143.946337  -0.012242 2013-04-01 2013-04-02   1 days
4     276        92       93   42.165916  41.239346  -255.733522  -0.021974 2013-04-02 2013-04-03   1 days
..    ...       ...      ...         ...        ...          ...        ...        ...        ...      ...
125   203      2413     2415   56.828380  54.446353  -483.551668  -0.041916 2022-06-17 2022-06-22   5 days
126  -180      2441     2445   61.313433  54.063949  1304.907139   0.118236 2022-07-29 2022-08-04   6 days
127   213      2480     2481   57.805379  55.382399  -516.094728  -0.041916 2022-09-23 2022-09-26   3 days
128  -159      2500     2503   74.141421  77.261601  -496.108626  -0.042084 2022-10-21 2022-10-26   5 days
129   167      2508     2514   67.574882  68.980003   234.655192   0.020794 2022-11-02 2022-11-10   8 days

[130 rows x 10 columns]",Energy
